program_id,milestones_missed,burn_rate,stakeholder_count,at_risk
1,47,0.045,408.34,1
2,47,0.349,316.35,1
3,43,0.039,278.99,1
4,50,0.431,201.69,0
5,49,0.35,84.58,0
6,33,0.032,151.67,0
7,15,0.441,29.15,0
8,58,0.087,74.46,0
9,49,0.301,183.29,0
10,14,0.481,11.15,0
11,17,0.048,410.86,1
12,39,0.166,304.28,1
13,40,0.265,400.09,1
14,4,0.041,10.27,0
15,57,0.201,80.7,0
16,33,0.101,99.52,0
17,1,0.208,333.41,1
18,24,0.333,124.98,0
19,39,0.458,216.71,0
20,16,0.077,203.75,0
21,41,0.419,317.41,1
22,59,0.357,123.81,0
23,37,0.25,322.38,1
24,24,0.06,262.94,0
25,11,0.056,266.63,0
26,20,0.47,69.54,0
27,39,0.303,491.78,1
28,8,0.199,17.61,0
29,59,0.301,19.92,0
30,7,0.482,75.22,0
31,18,0.323,398.13,1
32,59,0.317,243.17,0
33,33,0.214,268.24,0
34,35,0.06,164.67,0
35,27,0.483,179.96,0
36,53,0.281,24.97,0
37,32,0.206,307.37,1
38,1,0.462,485.92,1
39,47,0.426,222.64,0
40,36,0.383,156.44,0
41,8,0.034,410.6,1
42,25,0.226,492.31,1
43,33,0.094,300.74,1
44,23,0.23,391.8,1
45,57,0.462,32.56,0
46,42,0.26,417.09,1
47,16,0.349,175.38,0
48,4,0.306,30.43,0
49,33,0.386,139.67,0
50,14,0.017,117.93,0
51,55,0.102,155.22,0
52,15,0.026,473.35,1
53,41,0.369,425.26,1
54,27,0.154,63.0,0
55,14,0.297,471.69,1
56,20,0.298,152.74,0
57,28,0.075,164.49,0
58,46,0.447,140.1,0
59,10,0.007,184.8,0
60,28,0.101,496.86,1
61,35,0.355,472.15,1
62,47,0.26,339.52,1
63,30,0.47,293.87,1
64,8,0.181,333.18,1
65,28,0.037,231.95,0
66,35,0.191,316.68,1
67,15,0.114,13.1,0
68,42,0.436,168.44,0
69,42,0.085,31.59,0
70,41,0.31,182.54,0
71,19,0.016,446.55,1
72,3,0.359,288.63,0
73,40,0.362,34.67,0
74,11,0.473,33.67,0
75,35,0.423,124.96,0
76,36,0.463,19.74,0
77,50,0.14,313.61,1
78,16,0.063,420.52,1
79,19,0.055,462.2,1
80,27,0.436,379.17,1
81,14,0.473,256.57,0
82,53,0.147,301.68,1
83,4,0.24,105.67,0
84,51,0.446,320.45,1
85,34,0.335,370.85,1
86,1,0.171,315.37,1
87,16,0.085,156.32,0
88,31,0.025,276.75,0
