Time,Marketing_Spend,R&D_Spend,Customer_Satisfaction,Employee_Count,Region,Sales
0,54967.14153011233,32862.298882786265,7.0740975116883265,121,West,-1320.017149333993
1,48617.35698828816,34486.27621094588,6.367035359653531,60,West,23787.669951677617
2,56476.88538100693,38664.409945402214,5.281877483254636,154,North,3207.406305482924
3,65230.29856408025,38430.41641627922,9.323611881275266,63,South,13973.28412624009
4,47658.46625276664,18978.645056343274,9.064505045650389,109,North,27635.88982771835
5,47658.630430508194,22497.399680679016,9.998588366430653,79,South,17725.912262942045
6,65792.12815507391,34120.28213766928,9.983184185369527,84,East,26005.46295283826
7,57674.34729152909,34110.28760729767,7.777158528013137,54,East,19994.060644992554
8,45305.25614065048,34120.38149044838,8.844937075902553,132,West,31143.444900288036
9,55425.60043585965,60821.851925237774,9.723828649412141,172,South,32987.60673374077
10,45365.82307187538,34567.124085545336,9.248236953387057,127,East,13912.440513464015
11,45342.70246429743,39084.52512144479,6.236740508715988,111,South,21102.40069886588
12,52419.62271566034,37632.01410794562,7.252720676550468,181,East,4262.947391437785
13,30867.197553422022,35211.13001044639,5.645797075757475,138,North,14257.769804829897
14,32750.821674869672,27477.846042877234,9.770255136293612,91,East,24639.47073096011
15,44377.12470759027,36071.75376394614,8.0308731722544,138,North,19126.58731593639
16,39871.68879665576,23817.398283699426,6.143214027517314,195,East,22669.000843065383
17,53142.47332595274,28105.45114607993,8.358503422029283,89,West,13644.642129791877
18,40919.75924478789,26117.091617367172,8.09064120228948,121,North,27851.638695953436
19,35876.962986647086,30654.99311509058,6.790813590164202,88,East,12741.384165992875
20,64656.487689215544,48517.268533388065,5.567787960998145,153,West,12605.063700527877
21,47742.23699513464,15061.878459266016,8.357865977963998,63,North,22734.585937237905
22,50675.28204687924,35490.08152299611,7.601538504518967,81,West,691.6530084394199
23,35752.51813786543,17098.273030482786,8.861591958678197,174,South,24514.974310280744
24,44556.17275474817,26224.54507368453,7.6008175055599665,146,South,7044.952025689045
25,51109.22589709866,38711.60477573893,9.260907501592701,72,North,28845.892973130467
26,38490.06422577697,30514.2401527637,7.759534193872428,112,East,13204.291435018464
27,53756.98018345672,21378.04177656555,7.804689857676932,192,North,21546.157526509054
28,43993.61310081195,24277.570325920256,9.383268013291726,194,West,25697.04361354304
29,47083.06250206723,35436.78199147741,7.017414331061985,102,East,-4233.005672252575
30,43982.93387770603,24157.06694626291,5.670076142253205,153,South,9298.257090180767
